Time	Participant	Block	Trial	TargetChange	ObjectsCount	Duration	Error	Practice
Wed Feb 17 11:43:47 CET 2016	0	0	0	VV1	9	1358	1	true
Wed Feb 17 11:43:48 CET 2016	0	0	0	VV1	9	482	1	true
Wed Feb 17 11:43:50 CET 2016	0	0	0	VV1	9	540	1	true
Wed Feb 17 11:43:51 CET 2016	0	0	0	VV1	9	433	1	true
Wed Feb 17 11:43:52 CET 2016	0	0	0	VV1	9	484	1	true
Wed Feb 17 11:43:54 CET 2016	0	0	0	VV1	9	1045	1	true
Wed Feb 17 11:43:59 CET 2016	0	0	0	VV1	9	615	1	true
Wed Feb 17 11:44:01 CET 2016	0	0	0	VV1	9	1177	1	true
Wed Feb 17 11:44:03 CET 2016	0	0	0	VV1	9	501	1	true
Wed Feb 17 11:44:04 CET 2016	0	0	0	VV1	9	539	1	true
Wed Feb 17 11:44:05 CET 2016	0	0	0	VV1	9	543	1	true
Wed Feb 17 11:44:07 CET 2016	0	0	0	VV1	9	1049	1	true
Wed Feb 17 11:44:10 CET 2016	0	0	0	VV1	9	1686	0	true
Wed Feb 17 11:44:17 CET 2016	0	1	0	VV2	9	5659	0	false
Wed Feb 17 11:44:19 CET 2016	0	1	1	VV1	9	502	0	false
Wed Feb 17 11:44:22 CET 2016	0	1	2	VV1VV2	9	1770	0	false
Wed Feb 17 11:44:25 CET 2016	0	1	3	VV2	9	1251	0	false
Wed Feb 17 11:44:29 CET 2016	0	1	4	VV1VV2	9	823	0	false
Wed Feb 17 11:44:33 CET 2016	0	1	5	VV2	9	1477	0	false
Wed Feb 17 11:44:40 CET 2016	0	1	6	VV1	9	1882	0	false
Wed Feb 17 11:44:43 CET 2016	0	1	7	VV2	9	2179	0	false
Wed Feb 17 11:44:46 CET 2016	0	1	8	VV1VV2	9	1802	0	false
Wed Feb 17 11:44:49 CET 2016	0	1	9	VV1VV2	9	1129	0	false
Wed Feb 17 11:44:51 CET 2016	0	1	10	VV2	9	1227	0	false
Wed Feb 17 11:44:56 CET 2016	0	1	11	VV1VV2	9	906	0	false
Wed Feb 17 11:44:58 CET 2016	0	1	12	VV1	9	333	0	false
Wed Feb 17 11:45:01 CET 2016	0	1	13	VV1	9	435	0	false
Wed Feb 17 11:45:03 CET 2016	0	1	14	VV1	9	562	0	false
Wed Feb 17 11:45:06 CET 2016	0	0	0	VV2	24	189	0	true
Wed Feb 17 11:45:09 CET 2016	0	2	0	VV1	24	985	0	false
Wed Feb 17 11:45:12 CET 2016	0	2	1	VV1	24	2014	1	false
Wed Feb 17 11:45:14 CET 2016	0	2	1	VV1	24	660	0	false
Wed Feb 17 11:45:18 CET 2016	0	2	2	VV1	24	588	0	false
Wed Feb 17 11:45:20 CET 2016	0	2	3	VV2	24	679	0	false
Wed Feb 17 11:45:23 CET 2016	0	2	4	VV1	24	661	0	false
Wed Feb 17 11:45:27 CET 2016	0	2	5	VV1VV2	24	2703	0	false
Wed Feb 17 11:45:29 CET 2016	0	2	6	VV2	24	835	0	false
Wed Feb 17 11:45:33 CET 2016	0	2	7	VV1VV2	24	1825	0	false
Wed Feb 17 11:45:36 CET 2016	0	2	8	VV2	24	825	0	false
Wed Feb 17 11:45:38 CET 2016	0	2	9	VV1	24	581	0	false
Wed Feb 17 11:45:41 CET 2016	0	2	10	VV2	24	1294	0	false
Wed Feb 17 11:45:45 CET 2016	0	2	11	VV1VV2	24	2409	0	false
Wed Feb 17 11:45:50 CET 2016	0	2	12	VV1VV2	24	2141	0	false
Wed Feb 17 11:45:54 CET 2016	0	2	13	VV2	24	1873	0	false
Wed Feb 17 11:45:57 CET 2016	0	2	14	VV1VV2	24	1878	0	false
Wed Feb 17 11:46:00 CET 2016	0	0	0	VV1	30	1490	1	true
Wed Feb 17 11:46:03 CET 2016	0	0	0	VV1	30	972	1	true
Wed Feb 17 11:46:06 CET 2016	0	0	0	VV1	30	1127	1	true
Wed Feb 17 11:46:08 CET 2016	0	0	0	VV1	30	677	0	true
Wed Feb 17 11:46:11 CET 2016	0	3	0	VV1VV2	30	1915	0	false
Wed Feb 17 11:46:14 CET 2016	0	3	1	VV2	30	1340	1	false
Wed Feb 17 11:46:17 CET 2016	0	3	1	VV2	30	1407	0	false
Wed Feb 17 11:46:20 CET 2016	0	3	2	VV1VV2	30	1827	1	false
